model,ann_return,ann_vol,sharpe,capm_alpha,ff5_alpha,max_drawdown
RSGP,0.22148958595829615,0.1332291525112852,1.6624708765563512,0.24032411707943674,0.21688598167647616,-0.1774907385738499
RSGP (Regime 0),0.22962169650888253,0.13584091382971977,1.6903721422009825,0.2463838363505357,0.22090021433236334,-0.15433971554745107
RSGP (Regime 1),0.13203636990184586,0.10003141677643736,1.3199490135877723,0.16585770208571257,0.17658810278422374,-0.06768240288977834
Fama-MacBeth,0.3095481011135745,0.1316341573529204,2.351578855658675,0.32745356066545594,0.2899343524879742,-0.15545938923956382
Random Forest,0.28616918371312594,0.09716589669968344,2.945160734713399,0.30287650575678554,0.2942083872377828,-0.10007442424337654
Single-Regime GP,0.06684503708240559,0.06937736399383797,0.963499234250853,0.07698020827117308,0.07158676512261228,-0.14096459541315287
